"gender","age_group","year","cancer_id","incidence"
"female","30-39",1963,"Breast",20.46
"female","30-39",1964,"Breast",17.74
"female","30-39",1965,"Breast",19.37
"female","30-39",1966,"Breast",16.44
"female","30-39",1967,"Breast",26.38
"female","30-39",1968,"Breast",19.37
"female","30-39",1969,"Breast",24.68
"female","30-39",1970,"Breast",22.43
"female","30-39",1971,"Breast",23.74
"female","30-39",1972,"Breast",18.93
"female","30-39",1973,"Breast",21.95
"female","30-39",1974,"Breast",21.19
"female","30-39",1975,"Breast",25.23
"female","30-39",1976,"Breast",32.71
"female","30-39",1977,"Breast",28.17
"female","30-39",1978,"Breast",31.09
"female","30-39",1979,"Breast",26.93
"female","30-39",1980,"Breast",26.53
"female","30-39",1981,"Breast",26.95
"female","30-39",1982,"Breast",28.07
"female","30-39",1983,"Breast",26.19
"female","30-39",1984,"Breast",34.93
"female","30-39",1985,"Breast",31.2
"female","30-39",1986,"Breast",35.74
"female","30-39",1987,"Breast",34.26
"female","30-39",1988,"Breast",33.12
"female","30-39",1989,"Breast",33.94
"female","30-39",1990,"Breast",33.04
"female","30-39",1991,"Breast",33.52
"female","30-39",1992,"Breast",38.15
"female","30-39",1993,"Breast",33.11
"female","30-39",1994,"Breast",34.35
"female","30-39",1995,"Breast",36.73
"female","30-39",1996,"Breast",31.65
"female","30-39",1997,"Breast",34.31
"female","30-39",1998,"Breast",36.93
"female","30-39",1999,"Breast",33.45
"female","30-39",2000,"Breast",40.4
"female","30-39",2001,"Breast",38.59
"female","30-39",2002,"Breast",38.85
"female","30-39",2003,"Breast",40.77
"female","30-39",2004,"Breast",37.17
"female","30-39",2005,"Breast",34.33
"female","30-39",2006,"Breast",31.56
"female","30-39",2007,"Breast",32.44
"female","30-39",2008,"Breast",32.63
"female","30-39",2009,"Breast",31.37
"female","30-39",2010,"Breast",37.22
"female","30-39",2011,"Breast",34.41
"female","30-39",2012,"Breast",34.2
"female","30-39",2013,"Breast",33.48
"female","30-39",2014,"Breast",41.47
"female","30-39",2015,"Breast",39.67
"female","30-39",2016,"Breast",42.23
"female","30-39",2017,"Breast",39.63
"female","30-39",2018,"Breast",38.69
"female","30-39",2019,"Breast",44
"female","30-39",2020,"Breast",41.62
"female","30-39",2021,"Breast",41.26
"female","30-39",2022,"Breast",43.67
"female","30-39",2023,"Breast",41.33
"female","30-39",1963,"Cervix uteri",15.76
"female","30-39",1964,"Cervix uteri",10.23
"female","30-39",1965,"Cervix uteri",14.52
"female","30-39",1966,"Cervix uteri",16.44
"female","30-39",1967,"Cervix uteri",14.77
"female","30-39",1968,"Cervix uteri",16.55
"female","30-39",1969,"Cervix uteri",13.4
"female","30-39",1970,"Cervix uteri",7.12
"female","30-39",1971,"Cervix uteri",10.63
"female","30-39",1972,"Cervix uteri",7.01
"female","30-39",1973,"Cervix uteri",6.62
"female","30-39",1974,"Cervix uteri",5.81
"female","30-39",1975,"Cervix uteri",4.65
"female","30-39",1976,"Cervix uteri",4.13
"female","30-39",1977,"Cervix uteri",4.54
"female","30-39",1978,"Cervix uteri",3.2
"female","30-39",1979,"Cervix uteri",4.21
"female","30-39",1980,"Cervix uteri",3.52
"female","30-39",1981,"Cervix uteri",5.28
"female","30-39",1982,"Cervix uteri",4.38
"female","30-39",1983,"Cervix uteri",4.74
"female","30-39",1984,"Cervix uteri",3.42
"female","30-39",1985,"Cervix uteri",3.87
"female","30-39",1986,"Cervix uteri",3.65
"female","30-39",1987,"Cervix uteri",3.94
"female","30-39",1988,"Cervix uteri",3.76
"female","30-39",1989,"Cervix uteri",3.57
"female","30-39",1990,"Cervix uteri",2.32
"female","30-39",1991,"Cervix uteri",3.64
"female","30-39",1992,"Cervix uteri",5.75
"female","30-39",1993,"Cervix uteri",7.62
"female","30-39",1994,"Cervix uteri",6.61
"female","30-39",1995,"Cervix uteri",8.52
"female","30-39",1996,"Cervix uteri",6.97
"female","30-39",1997,"Cervix uteri",8.64
"female","30-39",1998,"Cervix uteri",7.6
"female","30-39",1999,"Cervix uteri",8.23
"female","30-39",2000,"Cervix uteri",9.75
"female","30-39",2001,"Cervix uteri",8.8
"female","30-39",2002,"Cervix uteri",11.89
"female","30-39",2003,"Cervix uteri",9.52
"female","30-39",2004,"Cervix uteri",12.19
"female","30-39",2005,"Cervix uteri",8.66
"female","30-39",2006,"Cervix uteri",10.31
"female","30-39",2007,"Cervix uteri",8.5
"female","30-39",2008,"Cervix uteri",12.36
"female","30-39",2009,"Cervix uteri",10.14
"female","30-39",2010,"Cervix uteri",7.89
"female","30-39",2011,"Cervix uteri",13.14
"female","30-39",2012,"Cervix uteri",11.09
"female","30-39",2013,"Cervix uteri",12.36
"female","30-39",2014,"Cervix uteri",14.22
"female","30-39",2015,"Cervix uteri",9.99
"female","30-39",2016,"Cervix uteri",8.21
"female","30-39",2017,"Cervix uteri",12.33
"female","30-39",2018,"Cervix uteri",15.83
"female","30-39",2019,"Cervix uteri",10.78
"female","30-39",2020,"Cervix uteri",10.41
"female","30-39",2021,"Cervix uteri",21.2
"female","30-39",2022,"Cervix uteri",12.76
